,host_listings_count,accommodates,bedrooms,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_is_superhost_t,room_type_Private room,room_type_Shared room
11004,0.026901287506150427,0.0008406652345672008,0.0008406652345672008,0.026060622271583227,0.945748388888101,0.3068428106170283,0.0,0.0,0.0,0.0008406652345672008
183,0.0025916657626738364,0.003455554350231782,0.001727777175115891,0.02678054621429631,0.9718746610026886,0.1598193886982199,0.047513872315687,0.0008638885875579455,0.0,0.0
10395,0.17530233316659272,0.008765116658329635,0.0035060466633318544,0.0905728721360729,0.8765116658329636,0.3622914885442916,0.04382558329164818,0.0029217055527765456,0.0,0.0
169,0.0008383028220674129,0.0033532112882696517,0.0016766056441348258,0.025149084662022387,0.9430906748258395,0.2959208961897967,0.01760435926341567,0.0,0.0,0.0
6217,0.0024318904732328205,0.014591342839396924,0.004863780946465641,0.14591342839396923,0.8754805703638154,0.31371387104703385,0.1653685521798318,0.0024318904732328205,0.0,0.0
7059,0.004460370283473754,0.008920740566947508,0.004460370283473754,0.1338111085042126,0.8028666510252757,0.25424110615800394,0.37913147409526904,0.0,0.004460370283473754,0.0
12168,0.0008748938254415832,0.0017497876508831664,0.0008748938254415832,0.026246814763247497,0.9842555536217812,0.16360514535757606,0.0,0.0,0.0008748938254415832,0.0
10056,0.0028886187511533946,0.017331712506920366,0.008665856253460183,0.005777237502306789,0.08376994378344844,0.3061935876222598,0.028886187511533944,0.0,0.0,0.0
7250,0.0008853474110490973,0.0017706948220981946,0.0008853474110490973,0.02656042233147292,0.9960158374302345,0.0,0.007082779288392778,0.0,0.0,0.0
12788,0.028399506043724827,0.003341118358085274,0.001002335507425582,0.025058387685639553,0.9396895382114833,0.3048770501752813,0.0,0.0,0.0,0.0
5308,0.0017689249230835513,0.002653387384625327,0.0008844624615417756,0.026533873846253272,0.9950202692344976,0.029187261230878597,0.04510758553863056,0.0008844624615417756,0.0,0.0
14172,0.0,0.0034881551420824636,0.0017440775710412318,0.026161163565618477,0.9810436337106929,0.07063514162716988,0.0017440775710412318,0.0,0.0,0.0
17646,0.017707162511352594,0.0017707162511352594,0.0008853581255676297,0.026560743767028893,0.9960278912635834,0.046038622529516744,0.0,0.0,0.0008853581255676297,0.0
12718,0.011809784023251578,0.0033742240066433078,0.0016871120033216539,0.02530668004982481,0.9490005018684303,0.2733121445381079,0.0008435560016608269,0.0008435560016608269,0.0,0.0
13675,0.0,0.00955290928731305,0.004776454643656525,0.035823409827423935,0.1074702294822718,0.10508200216044354,0.0,0.0,0.0,0.0
12697,0.0008601580093790973,0.0017203160187581946,0.0008601580093790973,0.02580474028137292,0.9676777605514845,0.24170440063552634,0.004300790046895486,0.0008601580093790973,0.0,0.0
14528,0.0028154673585373676,0.02252373886829894,0.008446402075612102,0.08446402075612103,0.2533920622683631,0.7320215132197155,0.0,0.0,0.0,0.0
15227,0.026778708584807274,0.0033473385731009092,0.0016736692865504546,0.02510503929825682,0.9414389736846308,0.30544464479545796,0.0,0.0,0.0,0.0
15037,0.013388301256804005,0.015619684799604672,0.0044627670856013345,0.06694150628402003,0.1383457796536414,0.812223609579443,0.006694150628402003,0.0,0.0,0.0
9629,0.8227389752709217,0.0019554105175779483,0.0009777052587889741,0.01466557888183461,0.549959208068798,0.11536922053709894,0.0004888526293944871,0.0,0.0,0.0
12975,0.0008741953456836333,0.0017483906913672667,0.0008741953456836333,0.027100055716192634,0.9834697638940875,0.16434872498852307,0.0026225860370509,0.0008741953456836333,0.0,0.0
6550,0.0068795711510967255,0.0025798391816612724,0.0008599463938870907,0.026658338210499812,0.9674396931229771,0.2416449366822725,0.004299731969435454,0.0,0.0008599463938870907,0.0
14248,0.0,0.002599138917609353,0.0015594833505656119,0.025991389176093532,0.9746770941035074,0.18540524278946718,0.01126293530964053,0.0008663796392031178,0.0,0.0
2586,0.0017078384764000073,0.007685273143800033,0.002561757714600011,0.02561757714600011,0.9606591429750041,0.03074109257520013,0.02561757714600011,0.0008539192382000036,0.0,0.0
17084,0.0,0.0036777086589112884,0.0018388543294556442,0.055165629883669326,0.6711818302513102,0.6711818302513102,0.0,0.0,0.0,0.0
12011,0.010921434296041699,0.032764302888125096,0.010921434296041699,0.32764302888125096,0.32764302888125096,0.0,0.0,0.0,0.010921434296041699,0.0
11398,0.0,0.019101807668248358,0.007640723067299343,0.04457088455924617,0.5730542300474507,0.2801598458009759,0.20375261512798248,0.006367269222749453,0.0,0.0
5648,0.010817113399491816,0.0034614762878373813,0.0017307381439186907,0.0030287917518577088,0.15792985563258052,0.15749717109660086,0.0,0.0,0.0,0.0
1053,0.008829318018785887,0.0044146590093929435,0.0017658636037571774,0.02737088585823625,0.9932982771134122,0.030019681263872014,0.015892772433814595,0.0008829318018785887,0.0,0.0
17169,0.030771284684471656,0.01183510949402756,0.0023670218988055118,0.0023670218988055118,0.03313830658327717,0.8426597959747623,0.0047340437976110235,0.0,0.0,0.0
6321,0.0010691091549192226,0.006414654929515335,0.0032073274647576675,0.03207327464757668,0.03207327464757668,0.38274107746108166,0.0032073274647576675,0.0,0.0,0.0
1142,0.0008803671326042125,0.001760734265208425,0.0008803671326042125,0.026411013978126376,0.9904130241797391,0.0,0.09419928318865074,0.0,0.0,0.0
12035,0.004199050461589911,0.0016796201846359642,0.0016796201846359642,0.025194302769539465,0.9447863538577299,0.3056908736037455,0.0,0.0,0.0,0.0
14208,0.10219104671169432,0.0017619145984774883,0.0008809572992387442,0.02730967627640107,0.9910769616435872,0.04228595036345972,0.0008809572992387442,0.0,0.0,0.0
8120,0.009267047828065112,0.009267047828065112,0.009267047828065112,0.2780114348419534,0.4633523914032556,0.0,0.11120457393678135,0.0,0.009267047828065112,0.0
4864,0.31733757372327387,0.005471337477987481,0.0032828024867924883,0.08480573090880596,0.24621018650943663,0.8480573090880595,0.019149681172956182,0.0,0.0,0.0
12174,0.017288103872191273,0.0032929721661316713,0.0016464860830658356,0.024697291245987532,0.9261484217245325,0.30048371015951497,0.0032929721661316713,0.0,0.0,0.0
4133,0.0026186209988536178,0.0017457473325690786,0.0008728736662845393,0.02618620998853618,0.9819828745701067,0.0,0.06633839863762499,0.0008728736662845393,0.0,0.0
14827,0.017599360299497362,0.0016761295523330822,0.0013409036418664659,0.02514194328499623,0.9394706140826925,0.29080847732978976,0.0025141943284996233,0.0008380647761665411,0.0,0.0
9491,0.026554721263821985,0.026554721263821985,0.006638680315955496,0.19916040947866487,0.39168213864137424,0.4846236630647512,0.2854632535860863,0.0,0.0,0.0
7475,0.0008870278730085399,0.0017740557460170798,0.0008870278730085399,0.026610836190256195,0.9979063571346073,0.0,0.0017740557460170798,0.0,0.0008870278730085399,0.0
11875,0.0,0.007656056193369452,0.003828028096684726,0.011484084290054179,0.11484084290054178,0.5742042145027089,0.045936337160216716,0.003828028096684726,0.0,0.0
13629,0.006331916935424083,0.008442555913898777,0.0042212779569493885,0.0042212779569493885,0.7703832271432635,0.3651405432761221,0.03377022365559511,0.0021106389784746942,0.0,0.0
3174,0.002851618324708918,0.005703236649417836,0.0034219419896507016,0.002851618324708918,0.02851618324708918,0.0,0.903963008932727,0.002851618324708918,0.0,0.0
9493,0.05263637974710634,0.0026318189873553166,0.0008772729957851056,0.027195462869338275,0.9869321202582438,0.12194094641412968,0.025440916877768064,0.0008772729957851056,0.0,0.0
7902,0.0015952543074157662,0.007976271537078831,0.0031905086148315324,0.0007976271537078831,0.8973305479213685,0.0853461054467435,0.1690969565860712,0.0007976271537078831,0.0,0.0
1559,0.011464978847725743,0.034394936543177226,0.011464978847725743,0.34394936543177224,0.34394936543177224,0.0,0.0,0.0,0.0,0.0
6774,0.0007964245044632769,0.003982122522316384,0.0023892735133898306,0.0023892735133898306,0.8959775675211865,0.2524665679148588,0.046989045763333334,0.0007964245044632769,0.0,0.0
14438,0.0017453352115784327,0.005236005634735298,0.0017453352115784327,0.02618002817367649,0.9817510565128684,0.10035677466575989,0.0,0.0008726676057892164,0.0,0.0
13892,0.006479640487085836,0.012959280974171672,0.004319760324723891,0.06479640487085836,0.3455808259779113,0.7775568584503003,0.017279041298895563,0.0021598801623619454,0.0,0.0
12091,0.0,0.001691347634967713,0.0008456738174838565,0.02621588834199955,0.9513830446693384,0.28245505503960805,0.0,0.0,0.0,0.0
12498,0.014821124272996797,0.000871830839588047,0.000871830839588047,0.02615492518764141,0.9808096945365528,0.19093095386978226,0.001743661679176094,0.0,0.000871830839588047,0.0
8199,0.0,0.00494739073537314,0.00164913024512438,0.0247369536768657,0.9276357628824637,0.29766800924495057,0.00164913024512438,0.0,0.0,0.0
9132,0.0007840404993486944,0.004704242996092167,0.0023521214980460835,0.023521214980460833,0.8820455617672812,0.0,0.0,0.0,0.0,0.0
8870,0.008112091222086512,0.010816121629448682,0.0027040304073621705,0.08112091222086512,0.3244836488834605,0.8463615175043594,0.25688288869940623,0.0,0.0,0.0
2145,0.004390351119191331,0.004390351119191331,0.0026342106715147983,0.004390351119191331,0.061464915668678635,0.7595307436201002,0.48732897423023774,0.0021951755595956655,0.0,0.0
1598,0.0015922321784589695,0.0023883482676884545,0.0009553393070753817,0.023883482676884542,0.8956306003831703,0.20699018319966606,0.3773590262947758,0.0007961160892294847,0.0,0.0
